datetime,side,price,shares,pnl
2017-09-27 17:12,BUY,378.8,100,0.0
2017-09-27 17:15,SELL,377.95,100,-85.0
2017-09-27 17:17,BUY,378.1,100,0.0
2017-09-27 17:19,SELL,377.75,100,-35.0
2017-09-27 17:27,BUY,377.4,100,0.0
2017-09-27 17:31,SELL,377.55,100,15.0
2017-09-27 17:33,BUY,377.55,100,0.0
2017-09-27 17:35,SELL,376.65,100,-90.0
2017-09-27 17:42,BUY,376.7,100,0.0
2017-09-27 17:44,SELL,376.8,100,10.0
2017-09-27 17:45,BUY,377.7,100,0.0
2017-09-27 17:49,SELL,377.2,100,-50.0
2017-09-27 17:55,BUY,376.1,100,0.0
2017-09-27 17:57,SELL,376.75,100,65.0
2017-09-27 17:58,BUY,377.7,100,0.0
2017-09-27 18:04,SELL,378.0,100,30.0
2017-09-27 18:05,BUY,378.2,100,0.0
2017-09-27 18:06,SELL,377.7,100,-50.0
2017-09-27 18:09,BUY,378.5,100,0.0
2017-09-27 18:11,SELL,377.7,100,-80.0
2017-09-27 18:19,BUY,377.2,100,0.0
2017-09-27 18:24,SELL,376.6,100,-60.0
2017-09-27 18:29,BUY,376.95,100,0.0
2017-09-28 12:15,SELL,374.4,100,-255.0
2017-09-28 12:20,BUY,374.55,100,0.0
2017-09-28 12:26,SELL,374.1,100,-45.0
2017-09-28 12:30,BUY,374.1,100,0.0
2017-09-28 12:31,SELL,374.4,100,30.0
2017-09-28 12:33,BUY,374.3,100,0.0
2017-09-28 12:34,SELL,373.9,100,-40.0
2017-09-28 12:35,BUY,374.1,100,0.0
2017-09-28 12:40,SELL,374.25,100,15.0
2017-09-28 12:41,BUY,374.2,100,0.0
2017-09-28 12:43,SELL,373.9,100,-30.0
2017-09-28 12:44,BUY,374.5,100,0.0
2017-09-28 12:52,SELL,375.5,100,100.0
2017-09-28 12:53,BUY,375.8,100,0.0
2017-09-28 13:00,SELL,376.0,100,20.0
2017-09-28 13:03,BUY,376.5,100,0.0
2017-09-28 13:15,SELL,376.9,100,40.0
2017-09-28 13:23,BUY,376.3,100,0.0
2017-09-28 13:28,SELL,376.7,100,40.0
2017-09-28 13:30,BUY,376.5,100,0.0
2017-09-28 13:32,SELL,376.75,100,25.0
2017-09-28 13:33,BUY,376.8,100,0.0
2017-09-28 13:41,SELL,377.7,100,90.0
2017-09-28 13:43,BUY,377.5,100,0.0
2017-09-28 13:44,SELL,377.75,100,25.0
2017-09-28 13:45,BUY,378.1,100,0.0
2017-09-28 13:52,SELL,378.6,100,50.0
2017-09-28 14:05,BUY,376.8,100,0.0
2017-09-28 14:07,SELL,376.75,100,-5.0
2017-09-28 14:08,BUY,376.8,100,0.0
2017-09-28 14:09,SELL,376.9,100,10.0
2017-09-28 14:10,BUY,377.2,100,0.0
2017-09-28 14:14,SELL,377.0,100,-20.0
2017-09-28 14:20,BUY,376.1,100,0.0
2017-09-28 14:22,SELL,376.2,100,10.0
2017-09-28 14:24,BUY,376.15,100,0.0
2017-09-28 14:26,SELL,376.3,100,15.0
2017-09-28 14:27,BUY,376.4,100,0.0
2017-09-28 14:31,SELL,376.4,100,0.0
2017-09-28 14:36,BUY,376.4,100,0.0
2017-09-28 14:40,SELL,376.3,100,-10.0
2017-09-28 14:54,BUY,376.15,100,0.0
2017-09-28 14:58,SELL,375.9,100,-25.0
2017-09-28 15:01,BUY,376.2,100,0.0
2017-09-28 15:04,SELL,376.25,100,5.0
2017-09-28 15:05,BUY,376.2,100,0.0
2017-09-28 15:07,SELL,376.2,100,0.0
2017-09-28 15:10,BUY,376.55,100,0.0
2017-09-28 15:12,SELL,375.75,100,-80.0
2017-09-28 15:21,BUY,375.8,100,0.0
2017-09-28 15:27,SELL,375.55,100,-25.0
2017-09-28 15:31,BUY,375.6,100,0.0
2017-09-28 15:33,SELL,375.55,100,-5.0
2017-09-28 15:46,BUY,374.0,100,0.0
2017-09-28 15:47,SELL,373.3,100,-70.0
2017-09-28 15:53,BUY,373.1,100,0.0
2017-09-28 15:54,SELL,372.7,100,-40.0
2017-09-28 15:59,BUY,372.4,100,0.0
2017-09-28 16:02,SELL,372.0,100,-40.0
2017-09-28 16:05,BUY,372.5,100,0.0
2017-09-28 16:11,SELL,372.3,100,-20.0
2017-09-28 16:12,BUY,372.3,100,0.0
2017-09-28 16:13,SELL,372.0,100,-30.0
2017-09-28 16:17,BUY,372.4,100,0.0
2017-09-28 16:23,SELL,372.9,100,50.0
2017-09-28 16:24,BUY,373.4,100,0.0
2017-09-28 16:30,SELL,373.5,100,10.0
2017-09-28 16:31,BUY,373.5,100,0.0
2017-09-28 16:32,SELL,373.6,100,10.0
2017-09-28 16:37,BUY,373.4,100,0.0
2017-09-28 16:39,SELL,373.0,100,-40.0
2017-09-28 16:50,BUY,372.3,100,0.0
2017-09-28 16:51,SELL,371.9,100,-40.0
2017-09-28 16:55,BUY,372.0,100,0.0
2017-09-28 17:05,SELL,373.5,100,150.0
2017-09-28 17:06,BUY,373.95,100,0.0
2017-09-28 17:09,SELL,373.7,100,-25.0
2017-09-28 17:25,BUY,372.65,100,0.0
2017-09-28 17:31,SELL,373.0,100,35.0
2017-09-28 17:34,BUY,373.1,100,0.0
2017-09-28 17:37,SELL,372.9,100,-20.0
2017-09-28 17:51,BUY,369.2,100,0.0
2017-09-28 18:05,SELL,371.0,100,180.0
2017-09-28 18:11,BUY,371.4,100,0.0
2017-09-28 18:15,SELL,371.1,100,-30.0
2017-09-28 18:19,BUY,371.2,100,0.0
2017-09-28 18:25,SELL,371.2,100,0.0
2017-09-29 12:15,BUY,373.9,100,0.0
2017-09-29 12:19,SELL,370.9,100,-300.0
2017-09-29 12:22,BUY,372.2,100,0.0
2017-09-29 12:25,SELL,370.8,100,-140.0
2017-09-29 12:29,BUY,371.0,100,0.0
2017-09-29 12:40,SELL,371.3,100,30.0
2017-09-29 12:43,BUY,372.4,100,0.0
2017-09-29 12:45,SELL,371.6,100,-80.0
2017-09-29 12:54,BUY,370.75,100,0.0
2017-09-29 13:01,SELL,371.3,100,55.0
2017-09-29 13:12,BUY,370.8,100,0.0
2017-09-29 13:23,SELL,371.4,100,60.0
2017-09-29 13:25,BUY,371.55,100,0.0
2017-09-29 13:27,SELL,371.1,100,-45.0
2017-09-29 13:31,BUY,371.65,100,0.0
2017-09-29 13:35,SELL,371.3,100,-35.0
2017-09-29 13:40,BUY,371.55,100,0.0
2017-09-29 13:43,SELL,371.1,100,-45.0
2017-09-29 13:48,BUY,371.3,100,0.0
2017-09-29 14:00,SELL,371.35,100,5.0
2017-09-29 14:06,BUY,371.1,100,0.0
2017-09-29 14:07,SELL,370.2,100,-90.0
2017-09-29 14:11,BUY,370.5,100,0.0
2017-09-29 14:17,SELL,370.6,100,10.0
2017-09-29 14:27,BUY,369.8,100,0.0
2017-09-29 14:30,SELL,369.0,100,-80.0
2017-09-29 14:33,BUY,369.25,100,0.0
2017-09-29 14:40,SELL,369.75,100,50.0
2017-09-29 14:44,BUY,369.8,100,0.0
2017-09-29 14:45,SELL,369.7,100,-10.0
2017-09-29 14:51,BUY,369.9,100,0.0
2017-09-29 14:59,SELL,370.0,100,10.0
2017-09-29 15:00,BUY,370.6,100,0.0
2017-09-29 15:04,SELL,370.7,100,10.0
2017-09-29 15:06,BUY,370.8,100,0.0
2017-09-29 15:10,SELL,370.5,100,-30.0
2017-09-29 15:14,BUY,370.7,100,0.0
2017-09-29 15:17,SELL,370.85,100,15.0
2017-09-29 15:18,BUY,370.7,100,0.0
2017-09-29 15:29,SELL,373.3,100,260.0
2017-09-29 15:35,BUY,372.55,100,0.0
